,hours,u,v,ws,wd_sin,wd_cos,month_sin,month_cos,wp1,index_forecasted_weather
2009-07-01 01:00:00,1,2.34,-0.79,2.47,0.9473221350826142,-0.32028233229842273,1.2246467991473532e-16,-1.0,0.085,1
2009-07-01 02:00:00,2,2.18,-0.99,2.4,0.9113314399495753,-0.41167342221648656,1.2246467991473532e-16,-1.0,0.02,1
2009-07-01 03:00:00,3,2.2,-1.21,2.51,0.877062335534556,-0.4803765810139684,1.2246467991473532e-16,-1.0,0.06,1
2009-07-01 04:00:00,4,2.35,-1.4,2.73,0.8584232160170451,-0.5129420846479197,1.2246467991473532e-16,-1.0,0.045,1
2009-07-01 05:00:00,5,2.53,-1.47,2.93,0.8648887115806925,-0.50196366061727,1.2246467991473532e-16,-1.0,0.035,1
2009-07-01 06:00:00,6,2.66,-1.29,2.96,0.9003947198460801,-0.4350739574753917,1.2246467991473532e-16,-1.0,0.005,1
2009-07-01 07:00:00,7,2.69,-0.81,2.81,0.9577723263849826,-0.28752768703395926,1.2246467991473532e-16,-1.0,0.0,1
2009-07-01 08:00:00,8,2.72,-0.26,2.73,0.9955783744389298,-0.09393455354414551,1.2246467991473532e-16,-1.0,0.0,1
2009-07-01 09:00:00,9,2.87,0.08,2.87,0.9996573249755573,0.02617694830787314,1.2246467991473532e-16,-1.0,0.01,1
2009-07-01 10:00:00,10,3.23,-0.01,3.23,0.9999945016606114,-0.0033161195010589905,1.2246467991473532e-16,-1.0,0.025,1
2009-07-01 11:00:00,11,3.65,-0.33,3.66,0.9959631112479873,-0.08976347271150559,1.2246467991473532e-16,-1.0,0.03,1
2009-07-01 12:00:00,12,3.89,-0.6,3.94,0.9884674717597689,-0.15143334267211556,1.2246467991473532e-16,-1.0,0.01,1
2009-07-01 13:00:00,1,2.77,-0.65,2.85,0.9736983336476048,-0.2278410741106125,1.2246467991473532e-16,-1.0,0.0,2
2009-07-01 14:00:00,2,3.12,-0.74,3.2,0.972937431694704,-0.2310687213954177,1.2246467991473532e-16,-1.0,0.01,2
2009-07-01 15:00:00,3,3.29,-0.62,3.35,0.9828388977133544,-0.18446598911885773,1.2246467991473532e-16,-1.0,0.0,2
2009-07-01 16:00:00,4,3.31,-0.37,3.33,0.9937289486199696,-0.11181581585200623,1.2246467991473532e-16,-1.0,0.0,2
2009-07-01 17:00:00,5,3.17,-0.13,3.17,0.9991373865891984,-0.0415268915247299,1.2246467991473532e-16,-1.0,0.0,2
2009-07-01 18:00:00,6,2.88,-0.04,2.88,0.9999188357864599,-0.012740558835888248,1.2246467991473532e-16,-1.0,0.005,2
2009-07-01 19:00:00,7,2.45,-0.18,2.46,0.9974532463970924,-0.07132335698704319,1.2246467991473532e-16,-1.0,0.0,2
2009-07-01 20:00:00,8,1.96,-0.45,2.01,0.9752266299092234,-0.22120809279024717,1.2246467991473532e-16,-1.0,0.0,2
2009-07-01 21:00:00,9,1.52,-0.7,1.67,0.9093813630590418,-0.41596338362995267,1.2246467991473532e-16,-1.0,0.0,2
2009-07-01 22:00:00,10,1.18,-0.82,1.44,0.8228389334246343,-0.5682746603893316,1.2246467991473532e-16,-1.0,0.005,2
2009-07-01 23:00:00,11,0.86,-0.87,1.22,0.7051294120334126,-0.7090786361789599,1.2246467991473532e-16,-1.0,0.015,2
2009-07-02 00:00:00,12,0.44,-0.95,1.04,0.4188182320446984,-0.9080700900849852,1.2246467991473532e-16,-1.0,0.0,2
2009-07-02 01:00:00,1,0.68,-1.08,1.27,0.5309549546945644,-0.8474000448933744,1.2246467991473532e-16,-1.0,0.0,3
2009-07-02 02:00:00,2,0.45,-1.52,1.59,0.28635733309893113,-0.9581228928381097,1.2246467991473532e-16,-1.0,0.01,3
2009-07-02 03:00:00,3,0.12,-1.46,1.46,0.07880708073765363,-0.9968898856070358,1.2246467991473532e-16,-1.0,0.01,3
2009-07-02 04:00:00,4,-0.27,-1.06,1.1,-0.24412280216829035,-0.9697443258207298,1.2246467991473532e-16,-1.0,0.0,3
2009-07-02 05:00:00,5,-0.56,-0.59,0.81,-0.6939046988302457,-0.7200668503280135,1.2246467991473532e-16,-1.0,0.0,3
2009-07-02 06:00:00,6,-0.63,-0.27,0.68,-0.9178239270885163,-0.3969877061872493,1.2246467991473532e-16,-1.0,0.0,3
2009-07-02 07:00:00,7,-0.38,-0.3,0.49,-0.7854249711970815,-0.6189568762200348,1.2246467991473532e-16,-1.0,0.0,3
2009-07-02 08:00:00,8,-0.04,-0.57,0.57,-0.07845909572784482,-0.996917333733128,1.2246467991473532e-16,-1.0,0.0,3
2009-07-02 09:00:00,9,0.11,-0.87,0.88,0.12706460860135066,-0.9918944425900296,1.2246467991473532e-16,-1.0,0.015,3
2009-07-02 10:00:00,10,-0.1,-1.08,1.08,-0.08802505332450367,-0.9961182610449516,1.2246467991473532e-16,-1.0,0.03,3
2009-07-02 11:00:00,11,-0.44,-1.2,1.28,-0.3411999766886714,-0.9399907318200803,1.2246467991473532e-16,-1.0,0.01,3
2009-07-02 12:00:00,12,-0.58,-1.32,1.44,-0.4038646529350574,-0.9148187482281097,1.2246467991473532e-16,-1.0,0.0,3
2009-07-02 13:00:00,1,0.39,-2.18,2.22,0.17794354547384186,-0.9840406976462909,1.2246467991473532e-16,-1.0,0.0,4
2009-07-02 14:00:00,2,0.74,-2.29,2.4,0.3061937968205268,-0.9519692005462309,1.2246467991473532e-16,-1.0,0.0,4
2009-07-02 15:00:00,3,0.91,-2.34,2.52,0.3632512304729784,-0.9316912275855489,1.2246467991473532e-16,-1.0,0.0,4
2009-07-02 16:00:00,4,0.99,-2.37,2.57,0.386871910179266,-0.9221334638295294,1.2246467991473532e-16,-1.0,0.01,4
2009-07-02 17:00:00,5,1.07,-2.4,2.63,0.40625825606000243,-0.9137582992143412,1.2246467991473532e-16,-1.0,0.01,4
2009-07-02 18:00:00,6,1.23,-2.48,2.76,0.44494781447715415,-0.8955564987157449,1.2246467991473532e-16,-1.0,0.01,4
2009-07-02 19:00:00,7,1.55,-2.62,3.04,0.5094920294229281,-0.8604753755654523,1.2246467991473532e-16,-1.0,0.01,4
2009-07-02 20:00:00,8,1.97,-2.76,3.39,0.5805608569041806,-0.8142168577416483,1.2246467991473532e-16,-1.0,0.01,4
2009-07-02 21:00:00,9,2.39,-2.81,3.69,0.648119901063131,-0.7615383075367366,1.2246467991473532e-16,-1.0,0.08,4
2009-07-02 22:00:00,10,2.74,-2.71,3.85,0.7109222285813256,-0.7032706341864143,1.2246467991473532e-16,-1.0,0.025,4
2009-07-02 23:00:00,11,2.93,-2.47,3.83,0.7641338847746861,-0.645057676598881,1.2246467991473532e-16,-1.0,0.08,4
2009-07-03 00:00:00,12,2.91,-2.16,3.62,0.8025051825423839,-0.5966451474642319,1.2246467991473532e-16,-1.0,0.201,4
2009-07-03 01:00:00,1,2.06,-2.14,2.97,0.692898619765753,-0.7210350218447884,1.2246467991473532e-16,-1.0,0.12,1
2009-07-03 02:00:00,2,2.12,-1.92,2.86,0.7416247047263983,-0.6708150246822759,1.2246467991473532e-16,-1.0,0.035,1
2009-07-03 03:00:00,3,2.37,-1.71,2.93,0.8105530383532606,-0.5856652388662806,1.2246467991473532e-16,-1.0,0.05,1
2009-07-03 04:00:00,4,2.74,-1.53,3.14,0.8730923192316902,-0.4875549221355769,1.2246467991473532e-16,-1.0,0.08,1
2009-07-03 05:00:00,5,3.13,-1.36,3.41,0.9169904655764336,-0.3989091200285042,1.2246467991473532e-16,-1.0,0.065,1
2009-07-03 06:00:00,6,3.42,-1.19,3.63,0.9443763702374811,-0.3288666467385832,1.2246467991473532e-16,-1.0,0.14,1
2009-07-03 07:00:00,7,3.57,-1.03,3.72,0.9604882241787498,-0.27832062664120266,1.2246467991473532e-16,-1.0,0.08,1
2009-07-03 08:00:00,8,3.65,-0.96,3.77,0.9667787901837611,-0.2556144965584369,1.2246467991473532e-16,-1.0,0.055,1
2009-07-03 09:00:00,9,3.8,-1.08,3.95,0.9616934799974726,-0.2741270700429835,1.2246467991473532e-16,-1.0,0.025,1
2009-07-03 10:00:00,10,4.1,-1.45,4.35,0.9427579542359963,-0.33347779495006724,1.2246467991473532e-16,-1.0,0.04,1
2009-07-03 11:00:00,11,4.45,-1.99,4.87,0.9132612792957806,-0.40737431894884363,1.2246467991473532e-16,-1.0,0.1,1
2009-07-03 12:00:00,12,4.71,-2.57,5.37,0.877648571535067,-0.47930468898442496,1.2246467991473532e-16,-1.0,0.175,1
2009-07-03 13:00:00,1,3.73,-2.93,4.74,0.7860727105462979,-0.6181340418828234,1.2246467991473532e-16,-1.0,0.13,2
2009-07-03 14:00:00,2,3.91,-3.58,5.3,0.7372773368101241,-0.6755902076156602,1.2246467991473532e-16,-1.0,0.095,2
2009-07-03 15:00:00,3,4.42,-4.01,5.97,0.7403354663577779,-0.6722376047595161,1.2246467991473532e-16,-1.0,0.095,2
2009-07-03 16:00:00,4,5.13,-4.25,6.66,0.7700680491484483,-0.6379617540893051,1.2246467991473532e-16,-1.0,0.19,2
