,ws,wd_sin,wd_cos,wp1,index_forecasted_weather
2009-07-01 01:00:00,2.47,0.9473221350826142,-0.32028233229842273,0.085,1
2009-07-01 02:00:00,2.4,0.9113314399495753,-0.41167342221648656,0.02,1
2009-07-01 03:00:00,2.51,0.877062335534556,-0.4803765810139684,0.06,1
2009-07-01 04:00:00,2.73,0.8584232160170451,-0.5129420846479197,0.045,1
2009-07-01 05:00:00,2.93,0.8648887115806925,-0.50196366061727,0.035,1
2009-07-01 06:00:00,2.96,0.9003947198460801,-0.4350739574753917,0.005,1
2009-07-01 07:00:00,2.81,0.9577723263849826,-0.28752768703395926,0.0,1
2009-07-01 08:00:00,2.73,0.9955783744389298,-0.09393455354414551,0.0,1
2009-07-01 09:00:00,2.87,0.9996573249755573,0.02617694830787314,0.01,1
2009-07-01 10:00:00,3.23,0.9999945016606114,-0.0033161195010589905,0.025,1
2009-07-01 11:00:00,3.66,0.9959631112479873,-0.08976347271150559,0.03,1
2009-07-01 12:00:00,3.94,0.9884674717597689,-0.15143334267211556,0.01,1
2009-07-01 13:00:00,3.86,0.9880944998464434,-0.15384816987278993,0.0,1
2009-07-01 14:00:00,3.56,0.9951932764919141,-0.09793029370571933,0.01,1
2009-07-01 15:00:00,3.26,0.9998793586966922,0.01553280567996494,0.0,1
2009-07-01 16:00:00,3.15,0.987080395871597,0.1602257535041457,0.0,1
2009-07-01 17:00:00,3.21,0.9628333005184929,0.2700963446858648,0.0,1
2009-07-01 18:00:00,3.28,0.9550199444571866,0.29654157497557093,0.005,1
2009-07-01 19:00:00,3.27,0.9754961586866709,0.22001646390111193,0.0,1
2009-07-01 20:00:00,3.18,0.99780146829205,0.06627390040000007,0.0,1
2009-07-01 21:00:00,2.98,0.9909129088735774,-0.134505044618056,0.0,1
2009-07-01 22:00:00,2.66,0.9309921186695528,-0.3650392786744699,0.005,1
2009-07-01 23:00:00,2.32,0.7946265862966115,-0.6070984997103795,0.015,1
2009-07-02 00:00:00,2.04,0.5924350806898583,-0.8056181944122173,0.0,1
2009-07-02 01:00:00,1.76,0.38558399227739687,-0.9226727398701147,0.0,1
2009-07-02 02:00:00,1.5,0.18738131458572502,-0.9822872507286886,0.01,1
2009-07-02 03:00:00,1.33,0.0015707956808309034,-0.9999987662997035,0.01,1
2009-07-02 04:00:00,1.3,-0.12134963077358356,-0.9926098262213179,0.0,1
2009-07-02 05:00:00,1.32,-0.13121831944270412,-0.9913534952995487,0.0,1
2009-07-02 06:00:00,1.28,-0.008552009086827055,-0.99996343090164,0.0,1
2009-07-02 07:00:00,1.19,0.2692560113853575,-0.9630686373944737,0.0,1
2009-07-02 08:00:00,1.18,0.5372996083468238,-0.8433914458128857,0.0,1
2009-07-02 09:00:00,1.21,0.5849576749872157,-0.8110638189893264,0.015,1
2009-07-02 10:00:00,1.24,0.31482086633214584,-0.9491511060531285,0.03,1
2009-07-02 11:00:00,1.47,-0.07393443607558511,-0.997263104282007,0.01,1
2009-07-02 12:00:00,1.75,-0.28869761179792436,-0.9574203303367727,0.0,1
2009-07-02 13:00:00,1.76,-0.3237522902202786,-0.9461418786720756,0.0,1
2009-07-02 14:00:00,1.52,-0.20722876435828275,-0.9782925120957122,0.0,1
2009-07-02 15:00:00,1.25,0.1490176113389028,-0.9888345420295792,0.0,1
2009-07-02 16:00:00,1.32,0.6451910332955676,-0.7640212893336139,0.01,1
2009-07-02 17:00:00,1.83,0.8631312622203638,-0.5049796274879627,0.01,1
2009-07-02 18:00:00,2.51,0.8997101967356029,-0.43648775686149843,0.01,1
2009-07-02 19:00:00,3.19,0.8706134089947895,-0.4919677754472049,0.01,1
2009-07-02 20:00:00,3.74,0.8214479214839505,-0.5702835367514106,0.01,1
2009-07-02 21:00:00,3.96,0.7757160796223022,-0.6310820579095924,0.08,1
2009-07-02 22:00:00,3.69,0.7448940565916222,-0.6671827669045995,0.025,1
2009-07-02 23:00:00,3.17,0.7253743710122879,-0.6883545756937538,0.08,1
2009-07-03 00:00:00,2.69,0.7178833346252206,-0.6961634275566145,0.201,1
2009-07-01 13:00:00,2.85,0.9736983336476048,-0.2278410741106125,0.0,2
2009-07-01 14:00:00,3.2,0.972937431694704,-0.2310687213954177,0.01,2
